event_id,code,signal_date,stage_group,post_day,old_v021_daily_label_quality_ok,new_v022_daily_label_quality_ok,old_v021_d2_open_daily,new_v022_d2_open_daily,old_v021_d3_high_daily,new_v022_d3_high_daily,old_v021_d3_close_daily,new_v022_d3_close_daily,old_v021_target7,new_v022_target7,old_v021_tail,new_v022_tail,audit_minute_target7,audit_minute_tail,target_changed_vs_v021,tail_changed_vs_v021,target_changed_vs_minute,tail_changed_vs_minute,recovered_from_previous_missing,change_reason
000980_2026-05-06,000980,2026-05-06,d0,,True,True,2.55,2.55,2.72,2.72,2.64,2.64,False,False,False,False,False,False,False,False,False,False,False,unchanged
001266_2026-04-30,001266,2026-05-06,post,1.0,True,True,43.01,43.01,43.8,43.8,43.22,43.22,False,False,False,False,False,False,False,False,False,False,False,unchanged
002645_2026-05-06,002645,2026-05-06,d0,,True,True,26.23,26.23,27.58,27.58,27.38,27.38,False,False,False,False,False,False,False,False,False,False,False,unchanged
600714_2026-05-06,600714,2026-05-06,d0,,True,True,21.44,21.44,23.53,23.53,23.1,23.1,True,True,False,False,True,False,False,False,False,False,False,unchanged
605099_2026-05-06,605099,2026-05-06,d0,,True,True,49.29,49.29,52.5,52.5,50.31,50.31,False,False,False,False,False,False,False,False,False,False,False,unchanged
000980_2026-05-06,000980,2026-05-07,post,1.0,True,True,2.59,2.59,2.9,2.9,2.77,2.77,True,True,False,False,True,False,False,False,False,False,False,unchanged
001266_2026-04-30,001266,2026-05-07,post,2.0,True,True,43.36,43.36,44.58,44.58,43.6,43.6,False,False,False,False,False,False,False,False,False,False,False,unchanged
002645_2026-05-06,002645,2026-05-07,post,1.0,True,True,26.1,26.1,30.12,30.12,30.09,30.09,True,True,False,False,True,False,False,False,False,False,False,unchanged
600714_2026-05-06,600714,2026-05-07,post,1.0,True,True,22.38,22.38,25.41,25.41,24.77,24.77,True,True,False,False,True,False,False,False,False,False,False,unchanged
605099_2026-05-06,605099,2026-05-07,post,1.0,True,True,50.29,50.29,51.97,51.97,51.4,51.4,False,False,False,False,False,False,False,False,False,False,False,unchanged
000980_2026-05-06,000980,2026-05-08,post,2.0,True,True,2.64,2.64,2.8,2.8,2.74,2.74,False,False,False,False,False,False,False,False,False,False,False,unchanged
002217_2026-05-08,002217,2026-05-08,d0,,True,True,3.56,3.56,3.64,3.64,3.47,3.47,False,False,False,False,False,False,False,False,False,False,False,unchanged
002645_2026-05-06,002645,2026-05-08,post,2.0,True,True,27.98,27.98,30.12,30.12,28.75,28.75,True,True,False,False,True,False,False,False,False,False,False,unchanged
600714_2026-05-06,600714,2026-05-08,post,2.0,True,True,23.1,23.1,25.76,25.76,25.4,25.4,True,True,False,False,True,False,False,False,False,False,False,unchanged
605099_2026-05-06,605099,2026-05-08,post,2.0,True,True,50.58,50.58,51.66,51.66,50.96,50.96,False,False,False,False,False,False,False,False,False,False,False,unchanged
