event_id,code,signal_date,stage_group,sample_role_v022,expected_d2_date,expected_d3_date,label_d2_date,label_d3_date,daily_label_source_d2,daily_label_source_d3,daily_label_cache_path,daily_label_cache_mtime,daily_label_cache_sha256,d2_open_daily,d3_high_daily,d3_close_daily,daily_label_quality_ok,daily_label_quality_reason,target_training_eligible,tail_training_eligible,section,count
000980_2026-05-06,000980,2026-05-06,d0,SENSITIVITY_MAY_COMPLETE,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\000980_daily.pkl,2026-06-29 14:05:06,aa3302a9f69bd79908d2aa8e9bda34cb764d380f6fcb0a77aba87c292d333a3c,2.55,2.72,2.64,True,ok,True,True,per_row,
001266_2026-04-30,001266,2026-05-06,post,SENSITIVITY_MAY_COMPLETE,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\001266_daily.pkl,2026-06-29 14:12:49,903c6287b2a965f74154538bdb222772cca5e5b3505224f075c717bc7c110915,43.01,43.8,43.22,True,ok,True,True,per_row,
002645_2026-05-06,002645,2026-05-06,d0,SENSITIVITY_MAY_COMPLETE,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002645_daily.pkl,2026-06-29 14:13:09,5a3046611ef9adff2240c345580db3794820b5472e6577427051be8a695e0df0,26.23,27.58,27.38,True,ok,True,True,per_row,
600714_2026-05-06,600714,2026-05-06,d0,SENSITIVITY_MAY_COMPLETE,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600714_daily.pkl,2026-06-29 13:32:55,d4d28b7e68f882267644f52da2b2d8a42d503475687c69e8f70d63d2930d94d7,21.44,23.53,23.1,True,ok,True,True,per_row,
605099_2026-05-06,605099,2026-05-06,d0,SENSITIVITY_MAY_COMPLETE,2026-05-07,2026-05-08,2026-05-07,2026-05-08,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\605099_daily.pkl,2026-06-30 14:42:07,579a4af7338b850fdbc2dabb7aceb5ff64173c24ff65872bc8d54ff24e4a0bdd,49.29,52.5,50.31,True,ok,True,True,per_row,
000980_2026-05-06,000980,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,2026-05-08,2026-05-11,2026-05-08,2026-05-11,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\000980_daily.pkl,2026-06-29 14:05:06,aa3302a9f69bd79908d2aa8e9bda34cb764d380f6fcb0a77aba87c292d333a3c,2.59,2.9,2.77,True,ok,True,True,per_row,
001266_2026-04-30,001266,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,2026-05-08,2026-05-11,2026-05-08,2026-05-11,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\001266_daily.pkl,2026-06-29 14:12:49,903c6287b2a965f74154538bdb222772cca5e5b3505224f075c717bc7c110915,43.36,44.58,43.6,True,ok,True,True,per_row,
002645_2026-05-06,002645,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,2026-05-08,2026-05-11,2026-05-08,2026-05-11,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002645_daily.pkl,2026-06-29 14:13:09,5a3046611ef9adff2240c345580db3794820b5472e6577427051be8a695e0df0,26.1,30.12,30.09,True,ok,True,True,per_row,
600714_2026-05-06,600714,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,2026-05-08,2026-05-11,2026-05-08,2026-05-11,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600714_daily.pkl,2026-06-29 13:32:55,d4d28b7e68f882267644f52da2b2d8a42d503475687c69e8f70d63d2930d94d7,22.38,25.41,24.77,True,ok,True,True,per_row,
605099_2026-05-06,605099,2026-05-07,post,SENSITIVITY_MAY_COMPLETE,2026-05-08,2026-05-11,2026-05-08,2026-05-11,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\605099_daily.pkl,2026-06-30 14:42:07,579a4af7338b850fdbc2dabb7aceb5ff64173c24ff65872bc8d54ff24e4a0bdd,50.29,51.97,51.4,True,ok,True,True,per_row,
000980_2026-05-06,000980,2026-05-08,post,SENSITIVITY_MAY_COMPLETE,2026-05-11,2026-05-12,2026-05-11,2026-05-12,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\000980_daily.pkl,2026-06-29 14:05:06,aa3302a9f69bd79908d2aa8e9bda34cb764d380f6fcb0a77aba87c292d333a3c,2.64,2.8,2.74,True,ok,True,True,per_row,
002217_2026-05-08,002217,2026-05-08,d0,SENSITIVITY_MAY_COMPLETE,2026-05-11,2026-05-12,2026-05-11,2026-05-12,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002217_daily.pkl,2026-06-29 14:13:00,ff7225ba98355e36cca879bed70fab081b7f340c4ae6935d043ccb0ef25eb3d2,3.56,3.64,3.47,True,ok,True,True,per_row,
002645_2026-05-06,002645,2026-05-08,post,SENSITIVITY_MAY_COMPLETE,2026-05-11,2026-05-12,2026-05-11,2026-05-12,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002645_daily.pkl,2026-06-29 14:13:09,5a3046611ef9adff2240c345580db3794820b5472e6577427051be8a695e0df0,27.98,30.12,28.75,True,ok,True,True,per_row,
600714_2026-05-06,600714,2026-05-08,post,SENSITIVITY_MAY_COMPLETE,2026-05-11,2026-05-12,2026-05-11,2026-05-12,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600714_daily.pkl,2026-06-29 13:32:55,d4d28b7e68f882267644f52da2b2d8a42d503475687c69e8f70d63d2930d94d7,23.1,25.76,25.4,True,ok,True,True,per_row,
605099_2026-05-06,605099,2026-05-08,post,SENSITIVITY_MAY_COMPLETE,2026-05-11,2026-05-12,2026-05-11,2026-05-12,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\605099_daily.pkl,2026-06-30 14:42:07,579a4af7338b850fdbc2dabb7aceb5ff64173c24ff65872bc8d54ff24e4a0bdd,50.58,51.66,50.96,True,ok,True,True,per_row,
000720_2026-05-11,000720,2026-05-11,d0,SENSITIVITY_MAY_COMPLETE,2026-05-12,2026-05-13,2026-05-12,2026-05-13,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\000720_daily.pkl,2026-06-30 17:02:54,2c510a71992b6d09ff1e6d83f2d1ab919f6cecd3e934f8735e29675c76f30ab0,5.61,6.26,6.26,True,ok,True,True,per_row,
002217_2026-05-08,002217,2026-05-11,post,SENSITIVITY_MAY_COMPLETE,2026-05-12,2026-05-13,2026-05-12,2026-05-13,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002217_daily.pkl,2026-06-29 14:13:00,ff7225ba98355e36cca879bed70fab081b7f340c4ae6935d043ccb0ef25eb3d2,3.58,3.64,3.54,True,ok,True,True,per_row,
600936_2026-05-11,600936,2026-05-11,d0,SENSITIVITY_MAY_COMPLETE,2026-05-12,2026-05-13,2026-05-12,2026-05-13,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600936_daily.pkl,2026-08-03 22:46:07,3deb574eb7d00860368061addc9029e436eafe9aec20b1ebc462c42923b795b4,5.1,5.5,5.37,True,ok,True,True,per_row,
603636_2026-05-11,603636,2026-05-11,d0,SENSITIVITY_MAY_COMPLETE,2026-05-12,2026-05-13,2026-05-12,2026-05-13,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\603636_daily.pkl,2026-06-29 13:46:44,141b897083a409456c355d9ed9a3da63887c468c8a2de48c081d28cb1c83c94e,11.0,11.81,11.72,True,ok,True,True,per_row,
000720_2026-05-11,000720,2026-05-12,post,SENSITIVITY_MAY_COMPLETE,2026-05-13,2026-05-14,2026-05-13,2026-05-14,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\000720_daily.pkl,2026-06-30 17:02:54,2c510a71992b6d09ff1e6d83f2d1ab919f6cecd3e934f8735e29675c76f30ab0,5.56,6.27,5.83,True,ok,True,True,per_row,
002030_2026-05-12,002030,2026-05-12,d0,SENSITIVITY_MAY_COMPLETE,2026-05-13,2026-05-14,2026-05-13,2026-05-14,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002030_daily.pkl,2026-06-30 14:50:44,9d426f7c837383becc5221792c70547412db1a4d58ffc4540a0546b9d4ac244f,6.78,6.8,6.33,True,ok,True,True,per_row,
002217_2026-05-08,002217,2026-05-12,post,SENSITIVITY_MAY_COMPLETE,2026-05-13,2026-05-14,2026-05-13,2026-05-14,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002217_daily.pkl,2026-06-29 14:13:00,ff7225ba98355e36cca879bed70fab081b7f340c4ae6935d043ccb0ef25eb3d2,3.44,3.54,3.36,True,ok,True,True,per_row,
600748_2026-05-12,600748,2026-05-12,d0,SENSITIVITY_MAY_COMPLETE,2026-05-13,2026-05-14,2026-05-13,2026-05-14,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600748_daily.pkl,2026-06-30 14:35:02,3bcb4f76bba46d1e4f0487363930374df22e189d4b6b55ba15f41e9eb8cccba6,5.85,5.89,5.61,True,ok,True,True,per_row,
600936_2026-05-11,600936,2026-05-12,post,SENSITIVITY_MAY_COMPLETE,2026-05-13,2026-05-14,2026-05-13,2026-05-14,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600936_daily.pkl,2026-08-03 22:46:07,3deb574eb7d00860368061addc9029e436eafe9aec20b1ebc462c42923b795b4,5.12,5.9,5.36,True,ok,True,True,per_row,
603636_2026-05-11,603636,2026-05-12,post,SENSITIVITY_MAY_COMPLETE,2026-05-13,2026-05-14,2026-05-13,2026-05-14,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\603636_daily.pkl,2026-06-29 13:46:44,141b897083a409456c355d9ed9a3da63887c468c8a2de48c081d28cb1c83c94e,11.34,11.6,10.79,True,ok,True,True,per_row,
000029_2026-05-13,000029,2026-05-13,d0,SENSITIVITY_MAY_COMPLETE,2026-05-14,2026-05-15,2026-05-14,2026-05-15,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\000029_daily.pkl,2026-06-29 13:39:33,b77fe7d36bc76c759934f017909c67c9d3b8355b31a36185d463814ccf0c7a84,26.59,29.96,28.91,True,ok,True,True,per_row,
002030_2026-05-12,002030,2026-05-13,post,SENSITIVITY_MAY_COMPLETE,2026-05-14,2026-05-15,2026-05-14,2026-05-15,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\002030_daily.pkl,2026-06-30 14:50:44,9d426f7c837383becc5221792c70547412db1a4d58ffc4540a0546b9d4ac244f,6.67,6.35,6.04,True,ok,True,True,per_row,
600748_2026-05-12,600748,2026-05-13,post,SENSITIVITY_MAY_COMPLETE,2026-05-14,2026-05-15,2026-05-14,2026-05-15,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600748_daily.pkl,2026-06-30 14:35:02,3bcb4f76bba46d1e4f0487363930374df22e189d4b6b55ba15f41e9eb8cccba6,5.77,5.64,5.17,True,ok,True,True,per_row,
600936_2026-05-11,600936,2026-05-13,post,SENSITIVITY_MAY_COMPLETE,2026-05-14,2026-05-15,2026-05-14,2026-05-15,expected_date_daily_cache,expected_date_daily_cache,F:\fenqixuangu\data\cache\daily\600936_daily.pkl,2026-08-03 22:46:07,3deb574eb7d00860368061addc9029e436eafe9aec20b1ebc462c42923b795b4,5.37,5.55,5.47,True,ok,True,True,per_row,
