signal_date,code,name,universe_status,old_present,current_present,old_eligible,current_eligible,old_scorable,current_scorable,d0_date,days_since_d0,signal_type,field_mismatch_count,feature_mismatch_count
2026-06-26,000012,南  玻Ａ,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000021,深科技,shared,True,True,True,True,True,True,2026-06-24,2.0,D2_LOW_ABSORB,0,0
2026-06-26,000032,深桑达Ａ,shared,True,True,True,True,True,True,2026-06-24,2.0,D2_LOW_ABSORB,0,0
2026-06-26,000034,神州数码,shared,True,True,True,True,True,True,2026-06-25,1.0,D2_LOW_ABSORB,0,0
2026-06-26,000042,中洲控股,shared,True,True,True,True,True,True,2026-06-23,3.0,D2_LOW_ABSORB,0,0
2026-06-26,000048,京基智农,shared,True,True,True,True,True,True,2026-06-25,1.0,D2_LOW_ABSORB,0,0
2026-06-26,000060,中金岭南,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000070,特发信息,shared,True,True,True,True,True,True,2026-06-23,3.0,D2_LOW_ABSORB,0,0
2026-06-26,000100,TCL科技,shared,True,True,True,True,True,True,2026-06-25,1.0,D2_LOW_ABSORB,0,0
2026-06-26,000510,新金路,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000519,中兵红箭,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000545,金浦钛业,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000551,创元科技,shared,True,True,True,True,True,True,2026-06-23,3.0,D2_LOW_ABSORB,0,0
2026-06-26,000566,海南海药,shared,True,True,True,True,True,True,2026-06-24,2.0,D2_LOW_ABSORB,0,0
2026-06-26,000571,新大洲A,shared,True,True,True,True,True,True,2026-06-23,3.0,D2_LOW_ABSORB,0,0
2026-06-26,000612,焦作万方,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000620,盈新发展,shared,True,True,False,False,False,False,2026-06-26,0.0,WATCH_ONLY,0,0
2026-06-26,000636,风华高科,shared,True,True,True,True,True,True,2026-06-25,1.0,D2_LOW_ABSORB,0,0
2026-06-26,000657,中钨高新,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000682,东方电子,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000691,亚太实业,shared,True,True,True,True,True,True,2026-06-23,3.0,D2_LOW_ABSORB,0,0
2026-06-26,000751,锌业股份,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000756,新华制药,shared,True,True,True,True,True,True,2026-06-23,3.0,D2_LOW_ABSORB,0,0
2026-06-26,000766,通化金马,shared,True,True,True,True,True,True,2026-06-25,1.0,D2_LOW_ABSORB,0,0
2026-06-26,000776,广发证券,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000783,长江证券,shared,True,True,True,True,True,True,2026-06-25,1.0,D2_LOW_ABSORB,0,0
2026-06-26,000811,冰轮环境,shared,True,True,True,True,True,True,2026-06-25,1.0,D2_LOW_ABSORB,0,0
2026-06-26,000813,德展健康,shared,True,True,True,True,True,True,2026-06-23,3.0,D2_LOW_ABSORB,0,0
2026-06-26,000818,航锦科技,shared,True,True,True,True,True,True,2026-06-25,1.0,D2_LOW_ABSORB,0,0
2026-06-26,000823,超声电子,shared,True,True,False,False,False,False,2026-06-26,0.0,WATCH_ONLY,0,0
2026-06-26,000833,粤桂股份,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000882,华联股份,shared,True,True,True,True,True,True,2026-06-23,3.0,D2_LOW_ABSORB,0,0
2026-06-26,000908,景峰医药,shared,True,True,True,True,True,True,2026-06-24,2.0,D2_LOW_ABSORB,0,0
2026-06-26,000925,众合科技,shared,True,True,True,True,True,True,2026-06-24,2.0,D2_LOW_ABSORB,0,0
2026-06-26,000960,锡业股份,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
2026-06-26,000962,东方钽业,shared,True,True,True,True,True,True,2026-06-25,1.0,D2_LOW_ABSORB,0,0
2026-06-26,000967,盈峰环境,shared,True,True,True,True,True,True,2026-06-24,2.0,D2_LOW_ABSORB,0,0
2026-06-26,000987,越秀资本,shared,True,True,False,False,False,False,2026-06-22,4.0,WATCH_ONLY,0,0
